AGRN,Start date,End date,Duration,State,Disaster Types
886,20/01/2020,,,ACT,Storm
887,23/01/2020,03/02/2020,11,QLD,"Storm, Flood"
888,08/01/2020,16/01/2020,8,WA,Cyclone
898,15/01/2020,,,NSW,"Storm, Flood"
899,04/02/2020,09/02/2020,5,WA,"Storm, Flood"
900,08/02/2020,14/02/2020,6,QLD,"Storm, Flood"
901,01/02/2020,,,VIC,"Storm, Flood"
902,15/01/2020,20/02/2020,36,VIC,"Storm, Flood"
903,24/02/2020,28/02/2020,4,WA,"Storm, Flood"
904,20/02/2020,26/02/2020,6,QLD,"Storm, Flood"
905,23/02/2020,08/03/2020,14,QLD,Flood
906,14/01/2020,,,VIC,"Storm, Flood"
907,28/02/2020,03/03/2020,4,WA,"Storm, Flood"
908,13/03/2020,14/03/2020,1,WA,"Storm, Flood"
910,03/04/2020,,,VIC,"Storm, Flood"
912,24/02/2020,04/03/2020,9,NT,"Storm, Flood, Cyclone"
914,,,,TAS,Storm
915,29/04/2020,,,VIC,"Storm, Flood"
916,26/02/2020,,,NSW,Flood
917,03/04/2020,04/04/2020,1,NSW,"Storm, Flood"
918,10/04/2020,12/04/2020,2,NSW,"Storm, Flood"
919,25/03/2020,,,NSW,"Storm, Flood"
920,05/05/2020,,,WA,"Storm, Flood"
921,,,,SA,Flood
922,25/07/2020,,,NSW,"Storm, Flood"
923,05/08/2020,,,NSW,"Storm, Flood"
924,04/03/2020,,,VIC,Flood
933,03/08/2020,04/08/2020,1,WA,"Storm, Flood"
934,27/08/2020,,,VIC,Storm
935,01/08/2020,19/09/2020,49,NT,Bushfire
936,20/10/2020,,,NSW,"Storm, Flood"
937,31/10/2020,,,QLD,Storm
938,18/08/2020,,,NSW,Storm
939,07/10/2020,,,VIC,"Storm, Flood"
940,,,,SA,Storm
941,09/11/2020,23/12/2020,44,QLD,Bushfire
942,15/11/2020,,,VIC,Storm
943,10/12/2020,,,NSW,"Storm, Flood"
944,12/12/2020,15/12/2020,3,QLD,Storm
945,28/11/2020,,,NSW,Storm
947,21/12/2020,30/12/2020,9,QLD,Storm
949,02/12/2020,,,NSW,Storm
957,12/10/2020,19/10/2020,7,QLD,Bushfire
958,21/11/2020,26/11/2020,5,QLD,Bushfire
959,26/12/2020,,,NSW,Storm
963,11/12/2020,12/12/2020,1,WA,"Storm, Flood"
946,02/01/2021,12/01/2021,10,QLD,Cyclone
948,02/01/2021,,,NSW,"Storm, Flood"
950,01/02/2021,,,WA,Bushfire
951,28/01/2021,08/02/2021,11,WA,Flood
952,24/01/2021,30/01/2021,6,QLD,Storm
953,04/01/2021,,,TAS,"Storm, Flood"
954,19/02/2021,,,NSW,"Storm, Flood"
955,,,,NT,Flood
956,25/02/2021,03/03/2021,6,QLD,Cyclone
960,10/03/2021,,,NSW,"Storm, Flood"
961,20/03/2021,31/03/2021,11,QLD,"Storm, Flood"
962,01/03/2021,05/03/2021,4,WA,"Storm, Flood"
964,16/02/2021,18/02/2021,2,WA,"Storm, Flood"
965,11/04/2021,12/04/2021,1,WA,Cyclone
966,23/03/2021,,,VIC,"Storm, Flood"
967,03/02/2021,,,NSW,"Storm, Flood"
968,15/04/2021,26/04/2021,11,QLD,"Storm, Flood"
